"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 19:46:24 GMT 2023","Sun Jul 30 19:46:25 GMT 2023","291","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:26 GMT 2023","Sun Jul 30 19:46:26 GMT 2023","298","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:27 GMT 2023","Sun Jul 30 19:46:27 GMT 2023","282","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:26 GMT 2023","Sun Jul 30 19:46:26 GMT 2023","290","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:25 GMT 2023","Sun Jul 30 19:46:26 GMT 2023","292","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:29 GMT 2023","Sun Jul 30 19:46:29 GMT 2023","287","tests","test_memes","","","","Get meme by id","This test involves getting a meme by its id and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:24 GMT 2023","Sun Jul 30 19:46:24 GMT 2023","297","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"failed","Sun Jul 30 19:46:32 GMT 2023","Sun Jul 30 19:46:32 GMT 2023","289","tests","test_memes","","","","Delete meme by id","This test involves getting a meme by its id and conducting some checks afterwards"
"skipped","Sun Jul 30 19:46:35 GMT 2023","Sun Jul 30 19:46:36 GMT 2023","288","tests","test_memes","","","","Delete meme by id","This test involves getting a meme by its id and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:25 GMT 2023","Sun Jul 30 19:46:25 GMT 2023","290","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:26 GMT 2023","Sun Jul 30 19:46:26 GMT 2023","289","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
"failed","Sun Jul 30 19:46:30 GMT 2023","Sun Jul 30 19:46:31 GMT 2023","289","tests","test_memes","","","","Delete meme by id","This test involves getting a meme by its id and conducting some checks afterwards"
"broken","Sun Jul 30 19:46:27 GMT 2023","Sun Jul 30 19:46:28 GMT 2023","296","tests","test_memes","","","","Change a meme","This test involves changing the memes and conducting some checks afterwards"
"failed","Sun Jul 30 19:46:35 GMT 2023","Sun Jul 30 19:46:35 GMT 2023","289","tests","test_memes","","","","Delete meme by id","This test involves getting a meme by its id and conducting some checks afterwards"
"broken","Sun Jul 30 19:46:27 GMT 2023","Sun Jul 30 19:46:27 GMT 2023","287","tests","test_memes","","","","Change a meme","This test involves changing the memes and conducting some checks afterwards"
"passed","Sun Jul 30 19:46:26 GMT 2023","Sun Jul 30 19:46:27 GMT 2023","290","tests","test_memes","","","","Create a meme","This test involves creating 10 memes and conducting some checks afterwards"
